SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.005190265,73,0.0,0.248842807,5400.0,16,0.0,1,0.0,0.0
0,0.801765556,52,0.0,0.997576492,3300.0,9,0.0,1,0.0,1.0
0,0.9999998999999999,82,0.0,0.0,5356.0,1,0.0,0,0.0,0.0
0,0.48905071,30,0.0,0.11205432900000001,5300.0,5,0.0,0,0.0,1.0
0,0.09228331699999999,68,0.0,1.566520924,1159.0,6,0.0,0,0.0,0.0
1,0.7810206140000001,58,5.0,1.4450307830000002,1136.0,5,0.0,1,2.0,3.0
0,0.6820867629999999,55,0.0,0.056392480999999994,7500.0,5,0.0,0,0.0,0.0
0,0.0,57,0.0,1.566520924,2554.0,5,0.0,1,0.0,0.0
0,0.005135062,66,0.0,0.001426534,6308.0,7,0.0,0,0.0,0.0
0,0.0037010640000000004,68,0.0,1.566520924,2554.0,8,0.0,1,0.0,0.0
0,0.177474066,74,0.0,0.19836885,3800.0,12,0.0,0,0.0,0.0
0,0.004918653,39,1.0,0.000833194,6000.0,2,0.0,0,0.0,3.0
0,0.050027142000000004,64,0.0,0.050730208,1300.0,2,0.0,0,0.0,0.0
0,0.005709421,81,0.0,0.0016217970000000001,6165.0,7,0.0,0,0.0,0.0
0,0.0,37,0.0,1.566520924,1400.0,8,0.0,2,0.0,0.0
0,0.056911034000000006,21,0.0,0.070929071,1000.0,5,0.0,0,0.0,0.0
0,0.025537479,54,0.0,0.317709795,7125.0,4,0.0,1,0.0,2.0
0,0.274617125,51,0.0,0.729615547,9467.0,7,0.0,3,0.0,1.0
0,0.16257867199999998,63,0.0,0.160987616,13000.0,9,0.0,1,0.0,2.0
0,0.022882637999999997,39,0.0,1.566520924,2554.0,9,0.0,1,0.0,0.0
0,0.408690635,46,0.0,1.055195584,4166.0,12,0.0,2,0.0,0.0
0,0.0,46,0.0,0.149445764,5051.0,3,0.0,1,0.0,0.0
0,0.8710733559999999,35,0.0,0.390764509,7167.0,12,0.0,1,0.0,0.0
1,0.573680877,63,0.0,0.43292536600000003,4166.0,5,0.0,1,0.0,1.0
0,0.0,41,0.0,1.566520924,2000.0,7,0.0,1,0.0,3.0
0,0.108231341,40,0.0,0.150978432,7000.0,5,0.0,1,0.0,0.0
0,1.067197312,41,0.0,0.307390817,5357.0,8,0.0,1,0.0,2.0
0,0.022285812000000002,79,0.0,0.146780429,7500.0,11,0.0,1,0.0,0.0
0,0.50191944,35,0.0,1.566520924,8311.0,13,0.0,5,0.0,0.0
0,0.396946271,64,0.0,0.134590656,2332.0,7,0.0,0,0.0,0.0
0,0.02200759,53,0.0,0.722,3499.0,7,0.0,1,0.0,0.0
0,0.05499255,64,0.0,1.566520924,1159.0,10,0.0,0,0.0,0.0
0,0.9999998999999999,42,0.0,0.00856898,3500.0,0,0.0,0,0.0,0.0
0,0.0,61,0.0,0.47647616,9500.0,9,0.0,2,0.0,0.0
0,0.13800755,41,0.0,0.265061245,12000.0,10,0.0,2,0.0,0.0
0,0.036182797,48,0.0,0.533189589,6492.0,18,0.0,3,0.0,1.0
0,0.040324885,33,0.0,0.06902130000000001,7417.0,8,0.0,0,0.0,0.0
0,0.015010997,84,0.0,0.002687412,7069.0,6,0.0,0,0.0,0.0
0,0.546054696,35,1.0,0.444244355,7218.0,16,0.0,2,0.0,3.0
0,0.564634282,66,0.0,0.415418923,17694.0,14,0.0,2,0.0,1.0
0,0.019686642,58,0.0,0.07173133400000001,9200.0,9,0.0,1,0.0,1.0
0,0.215469834,51,1.0,0.716656669,5000.0,15,0.0,2,0.0,2.0
0,0.19840128899999998,52,2.0,0.44342144299999997,6733.0,13,0.0,3,1.0,1.0
0,0.062788,65,0.0,0.32348869399999997,6500.0,16,0.0,0,0.0,0.0
0,0.412360506,46,0.0,0.283486494,3590.0,12,0.0,2,0.0,1.0
0,0.225913215,41,0.0,0.441102757,13166.0,18,0.0,3,0.0,0.0
0,1.014965811,71,0.0,0.45158998,5628.0,6,0.0,1,1.0,2.0
0,0.287881105,39,2.0,0.31861356399999996,6000.0,10,0.0,2,0.0,2.0
0,0.002227106,55,0.0,0.39437658,9495.0,10,0.0,1,0.0,0.0
0,0.6511240629999999,27,1.0,0.012358947,1860.0,1,0.0,0,0.0,0.0
0,0.0,63,0.0,1.566520924,8311.0,9,0.0,2,0.0,0.0
0,0.19649219,61,0.0,0.262934266,4000.0,12,0.0,0,0.0,0.0
0,0.255127612,33,0.0,0.33893280600000003,7083.0,11,0.0,1,0.0,0.0
0,0.08930938199999999,63,1.0,0.280537088,7670.0,9,0.0,1,0.0,2.0
0,0.076959548,42,0.0,0.46719592600000004,6675.0,12,0.0,2,0.0,2.0
0,0.146243059,79,0.0,0.17382896399999997,4653.0,14,0.0,1,0.0,0.0
0,0.003594738,59,0.0,0.165233137,4417.0,10,0.0,0,1.0,0.0
0,0.453770639,39,0.0,0.471254791,6000.0,11,0.0,2,0.0,0.0
